department,position,scale_point,annual_rat(€)
INFORMATION_TECHNOLOGY,PRINT_OPERATOR_2,4,"35403"
INFORMATION_TECHNOLOGY,PRINT_OPERATOR_2,5,"36946"
INFORMATION_TECHNOLOGY,PRINT_OPERATOR_2,6,"38331"
INFORMATION_TECHNOLOGY,PRINT_OPERATOR_2,7,"39365"
INFORMATION_TECHNOLOGY,PRINT_OPERATOR_2,8,"40749"
INFORMATION_TECHNOLOGY,PRINT_OPERATOR_2,9,"42093"
INFORMATION_TECHNOLOGY,PRINT_OPERATOR_2,10,"43223"
INFORMATION_TECHNOLOGY,PRINT_OPERATOR_2,11,"44373"

INFORMATION_TECHNOLOGY,PRINT_OPERATOR_1,1,"29021"
INFORMATION_TECHNOLOGY,PRINT_OPERATOR_1,2,"30996"
INFORMATION_TECHNOLOGY,PRINT_OPERATOR_1,3,"31738"
INFORMATION_TECHNOLOGY,PRINT_OPERATOR_1,4,"32768"
INFORMATION_TECHNOLOGY,PRINT_OPERATOR_1,5,"34232"
INFORMATION_TECHNOLOGY,PRINT_OPERATOR_1,6,"35719"
INFORMATION_TECHNOLOGY,PRINT_OPERATOR_1,7,"37208"
INFORMATION_TECHNOLOGY,PRINT_OPERATOR_1,8,"38553"

INFORMATION_TECHNOLOGY,COMPUTER_LAB_ATTENDANT,1,"33403"
INFORMATION_TECHNOLOGY,COMPUTER_LAB_ATTENDANT,2,"34543"
INFORMATION_TECHNOLOGY,COMPUTER_LAB_ATTENDANT,3,"36605"
INFORMATION_TECHNOLOGY,COMPUTER_LAB_ATTENDANT,4,"36967"
INFORMATION_TECHNOLOGY,COMPUTER_LAB_ATTENDANT,5,"36987"
INFORMATION_TECHNOLOGY,COMPUTER_LAB_ATTENDANT,6,"37353"
INFORMATION_TECHNOLOGY,COMPUTER_LAB_ATTENDANT,7,"37714"
INFORMATION_TECHNOLOGY,COMPUTER_LAB_ATTENDANT,8,"38072"
INFORMATION_TECHNOLOGY,COMPUTER_LAB_ATTENDANT,9,"38428"

INFORMATION_TECHNOLOGY,TEMPORARY_COMPUTER_ASSISTANT,1,"33403"
INFORMATION_TECHNOLOGY,TEMPORARY_COMPUTER_ASSISTANT,2,"34543"
INFORMATION_TECHNOLOGY,TEMPORARY_COMPUTER_ASSISTANT,3,"36605"
INFORMATION_TECHNOLOGY,TEMPORARY_COMPUTER_ASSISTANT,4,"36967"
INFORMATION_TECHNOLOGY,TEMPORARY_COMPUTER_ASSISTANT,5,"36987"
INFORMATION_TECHNOLOGY,TEMPORARY_COMPUTER_ASSISTANT,6,"37353"
INFORMATION_TECHNOLOGY,TEMPORARY_COMPUTER_ASSISTANT,7,"37714"
INFORMATION_TECHNOLOGY,TEMPORARY_COMPUTER_ASSISTANT,8,"38072"
INFORMATION_TECHNOLOGY,TEMPORARY_COMPUTER_ASSISTANT,9,"38428"


TECHNICAL,CHIEF_TECHNICAL_OFFICER,1,"64838"
TECHNICAL,CHIEF_TECHNICAL_OFFICER,2,"67536"
TECHNICAL,CHIEF_TECHNICAL_OFFICER,3,"70205"
TECHNICAL,CHIEF_TECHNICAL_OFFICER,4,"72948"
TECHNICAL,CHIEF_TECHNICAL_OFFICER,5,"75821"
TECHNICAL,CHIEF_TECHNICAL_OFFICER,6,"78621"

TECHNICAL,TECHNICAL_OFFICER,1,"39828"
TECHNICAL,TECHNICAL_OFFICER,2,"41606"
TECHNICAL,TECHNICAL_OFFICER,3,"43745"
TECHNICAL,TECHNICAL_OFFICER,4,"45033"
TECHNICAL,TECHNICAL_OFFICER,5,"46408"
TECHNICAL,TECHNICAL_OFFICER,6,"49325"
TECHNICAL,TECHNICAL_OFFICER,7,"51251"
TECHNICAL,TECHNICAL_OFFICER,8,"53228"
TECHNICAL,TECHNICAL_OFFICER,9,"55376"
TECHNICAL,TECHNICAL_OFFICER,10,"57459"


TECHNICAL,SENIOR_TECHNICAL_OFFICER,11,"60654"
TECHNICAL,SENIOR_TECHNICAL_OFFICER,12,"62799"
TECHNICAL,SENIOR_TECHNICAL_OFFICER,13,"65107"
TECHNICAL,SENIOR_TECHNICAL_OFFICER,14,"67470"
TECHNICAL,SENIOR_TECHNICAL_OFFICER,15,"69827"
TECHNICAL,SENIOR_TECHNICAL_OFFICER,16,"71290"

TECHNICAL,SENIOR_LAB_ATTENDANT,1,"38443"
TECHNICAL,SENIOR_LAB_ATTENDANT,2,"38970"
TECHNICAL,SENIOR_LAB_ATTENDANT,3,"39512"
TECHNICAL,SENIOR_LAB_ATTENDANT,4,"40040"
TECHNICAL,SENIOR_LAB_ATTENDANT,5,"40229"

TECHNICAL,LABORATORY_ATTENDANT,1,"33403"
TECHNICAL,LABORATORY_ATTENDANT,2,"34543"
TECHNICAL,LABORATORY_ATTENDANT,3,"36604"
TECHNICAL,LABORATORY_ATTENDANT,4,"36966"
TECHNICAL,LABORATORY_ATTENDANT,5,"36989"
TECHNICAL,LABORATORY_ATTENDANT,6,"37352"
TECHNICAL,LABORATORY_ATTENDANT,7,"37714"
TECHNICAL,LABORATORY_ATTENDANT,8,"38072"
TECHNICAL,LABORATORY_ATTENDANT,9,"38429"

SERVICE_STAFF,SEN_PORTER/ATTENDANT,1,"41472"
SERVICE_STAFF,SEN_PORTER/ATTENDANT,2,"41678"
SERVICE_STAFF,SEN_PORTER/ATTENDANT,3,"41873"
SERVICE_STAFF,SEN_PORTER/ATTENDANT,4,"41984"
SERVICE_STAFF,SEN_PORTER/ATTENDANT,5,"42103"
SERVICE_STAFF,SEN_PORTER/ATTENDANT,6,"42213"
SERVICE_STAFF,SEN_PORTER/ATTENDANT,7,"42325"
SERVICE_STAFF,SEN_PORTER/ATTENDANT,8,"42445"
SERVICE_STAFF,SEN_PORTER/ATTENDANT,9,"42563"
SERVICE_STAFF,SEN_PORTER/ATTENDANT,10,"42689"
SERVICE_STAFF,SEN_PORTER/ATTENDANT,11,"42813"
SERVICE_STAFF,SEN_PORTER/ATTENDANT,12,"42936"
